LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
143,F.n11_F.n12,PHX,F.n11,F.n12,1233.9733988805,10,null
144,F.n12_F.n13,PHX,F.n12,F.n13,450.829,10,null
145,F.n3_F.n4,PHX,F.n3,F.n4,487.438,10,null
146,F.n4_F.nG3,PHX,F.n4,F.nG3,1052.7138922847,10,null
147,F.n6_F.n5,PHX,F.n6,F.n5,1427.9962003733,10,null
148,F.n5_F.n8,PHX,F.n5,F.n8,344.5932062732,10,null
149,F.n8_F.nG6,PHX,F.n8,F.nG6,495.9368567018,10,null
151,F.nG3_F.nG4,PHX,F.nG3,F.nG4,1273.936347647,10,null
152,F.nG4_F.n6,PHX,F.nG4,F.n6,238.0092112643,10,null
153,F.nG6_F.n9,PHX,F.nG6,F.n9,155.2331397594,10,null
154,F.nG7_F.n10,PHX,F.nG7,F.n10,200.3564430419,10,null
155,F.nG8_F.n11,PHX,F.nG8,F.n11,559.5321458071,10,null
156,F.n10_07L/25R.10,PHX,F.n10,07L/25R.10,397.856,10,null
157,F.n11_07L/25R.11,PHX,F.n11,07L/25R.11,342.4086186605,10,null
158,F.n12_07L/25R.12,PHX,F.n12,07L/25R.12,413.734,10,null
159,F.n13_07L/25R.13,PHX,F.n13,07L/25R.13,327.9210542965,10,null
160,F.n3_07L/25R.3,PHX,F.n3,07L/25R.3,401.308,10,null
161,F.n4_07L/25R.4,PHX,F.n4,07L/25R.4,402.57,10,null
163,F.n8_07L/25R.8,PHX,F.n8,07L/25R.8,353.1378394612,10,null
165,F.n3_07R/25L.n1,PHX,F.n3,07R/25L.n1,398.427,10,null
168,F.nG4_07R/25L.n4,PHX,F.nG4,07R/25L.n4,342.2802953523,10,null
169,F.n5_07R/25L.n5,PHX,F.n5,07R/25L.n5,514.989,10,null
170,F.nG6_07R/25L.nG6,PHX,F.nG6,07R/25L.nG6,592.41,10,null
172,F.nG8_07R/25L.n8,PHX,F.nG8,07R/25L.n8,391.857,10,null
173,H.n1_H.n2,PHX,H.n1,H.n2,278.325,10,null
174,H.n2_Taxiway Intersection (15),PHX,H.n2,Taxiway Intersection (15),513.346,10,null
175,H.n3_Taxiway Intersection (20),PHX,H.n3,Taxiway Intersection (20),361.885,10,null
176,H.n4_Taxiway Intersection (49),PHX,H.n4,Taxiway Intersection (49),505.439,10,null
178,H.n6_H.n7,PHX,H.n6,H.n7,276.335558119,10,null
179,H.n1_07R/25L.n1,PHX,H.n1,07R/25L.n1,366.65,10,null
180,H.n2_07R/25L.nH2,PHX,H.n2,07R/25L.nH2,412.631,10,null
182,H.n4_07R/25L.n4,PHX,H.n4,07R/25L.n4,342.0957930455,10,null
184,H.n6_07R/25L.nH6,PHX,H.n6,07R/25L.nH6,352.6352157804,10,null
185,H.n7_07R/25L.n7,PHX,H.n7,07R/25L.n7,336.2224682956,10,null
186,SpotSW.4_D.n6,PHX,SpotSW.4,D.n6,165.708,10,null
187,Terminal2S.D_SpotSW.3,PHX,Terminal2S.D,SpotSW.3,175.5292164558,10,null
188,Terminal3N.A_Taxiway Intersection (43),PHX,Terminal3N.A,Taxiway Intersection (43),110.8055264574,10,null
189,Terminal3N.D_Taxiway Intersection (46),PHX,Terminal3N.D,Taxiway Intersection (46),168.9274812217,10,null
190,Terminal3S.A_SpotSW.1,PHX,Terminal3S.A,SpotSW.1,236.8120664667,10,null
191,SpotSW.2_D.n8,PHX,SpotSW.2,D.n8,129.753,10,null
192,Terminal4N.A_SpotNE.6,PHX,Terminal4N.A,SpotNE.6,228.6610743899,10,null
193,Terminal4N.D_SpotNE.5,PHX,Terminal4N.D,SpotNE.5,92.6693400276,10,null
